                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4395,                 3.2617,                 1.4234,                 0.0325,                0.23388,                0.03937,                0.01228,                 2.8816,                 6.5553,                 1.0304,               0.088012,                1.2e-05,                1.2e-05
                      1,                 2.1969,                 2.4715,                 1.2759,                0.03097,                0.33433,                0.02278,                0.00778,                  2.787,                 6.8407,                 1.1931,               0.075025,              2.475e-05,              2.475e-05
                      2,                 2.1881,                 2.1097,                 1.2431,                0.03765,                0.33433,                0.06158,                0.02237,                 2.4373,                 7.0898,                  1.049,               0.062037,              3.724e-05,              3.724e-05
                      3,                 2.0708,                  1.982,                 1.2644,                0.28872,                0.34933,                0.29221,                0.13263,                 1.9665,                 7.1429,                0.87771,               0.049049,              4.947e-05,              4.947e-05
                      4,                 2.0675,                 1.8733,                 1.2102,                0.12852,                0.54123,                0.32975,                0.14083,                 1.8751,                 6.6118,                0.81104,               0.036061,              6.144e-05,              6.144e-05
                      5,                 2.0458,                 1.8521,                 1.2005,                0.07198,                0.68066,                0.36812,                0.15481,                 1.8156,                 5.6418,                0.78449,               0.023073,              7.315e-05,              7.315e-05
                      6,                 2.0054,                 1.7879,                 1.1787,                0.06652,                0.68516,                0.36864,                0.15261,                 1.8509,                 5.1803,                0.78395,               0.010085,               8.46e-05,               8.46e-05
                      7,                 2.0148,                 1.7738,                 1.1965,                0.34927,                0.50375,                0.39892,                0.16949,                 1.8061,                 4.5387,                0.79684,                9.3e-05,                9.3e-05,                9.3e-05
                      8,                 2.0085,                 1.7202,                 1.1906,                0.63072,                0.31934,                0.40261,                0.17565,                  1.802,                 4.1212,                0.79175,                9.3e-05,                9.3e-05,                9.3e-05
                      9,                 2.0114,                 1.7817,                 1.1909,                0.57256,                0.38831,                0.40925,                0.17657,                 1.8114,                 3.7798,                0.79601,                9.2e-05,                9.2e-05,                9.2e-05
                     10,                 1.9228,                 1.7591,                 1.1763,                0.55369,                 0.3913,                0.39139,                0.17535,                 1.7989,                 3.6452,                0.80466,                9.1e-05,                9.1e-05,                9.1e-05
                     11,                 1.9444,                 1.7069,                 1.1688,                0.56461,                0.41079,                0.42326,                0.18377,                  1.788,                  3.508,                0.79362,                  9e-05,                  9e-05,                  9e-05
                     12,                 1.9722,                 1.7068,                 1.1749,                0.59812,                0.42172,                0.43786,                0.19252,                 1.7975,                 3.3742,                0.78581,                8.9e-05,                8.9e-05,                8.9e-05
                     13,                 1.9754,                 1.6513,                 1.1582,                0.58386,                0.41079,                0.43244,                0.18954,                  1.819,                 3.3083,                0.79836,                8.8e-05,                8.8e-05,                8.8e-05
                     14,                 1.9567,                 1.6732,                 1.1633,                0.58728,                0.40535,                0.43142,                0.18906,                 1.8104,                 3.3104,                0.79914,                8.7e-05,                8.7e-05,                8.7e-05
                     15,                 1.9595,                  1.677,                 1.1437,                0.59236,                 0.3943,                0.43501,                0.18843,                 1.7878,                 3.3394,                0.78868,                8.6e-05,                8.6e-05,                8.6e-05
                     16,                 1.8859,                 1.7306,                 1.1556,                0.56666,                 0.3973,                0.42763,                0.19264,                 1.7782,                 3.3152,                 0.7914,                8.5e-05,                8.5e-05,                8.5e-05
                     17,                 1.9428,                 1.6391,                 1.1463,                0.57948,                 0.4078,                0.43648,                0.19401,                 1.7591,                 3.3104,                0.78206,                8.4e-05,                8.4e-05,                8.4e-05
                     18,                 1.8786,                 1.6821,                 1.1301,                0.57024,                0.40981,                0.43856,                 0.1981,                 1.7581,                 3.3118,                0.78455,                8.3e-05,                8.3e-05,                8.3e-05
                     19,                 1.8909,                 1.6892,                 1.1736,                0.58565,                0.41679,                0.44972,                 0.1982,                 1.7834,                 3.2922,                0.78508,                8.2e-05,                8.2e-05,                8.2e-05
                     20,                  1.972,                 1.6723,                 1.1533,                0.53792,                0.43178,                0.44471,                0.19464,                  1.792,                 3.3077,                0.78223,                8.1e-05,                8.1e-05,                8.1e-05
                     21,                 1.8996,                 1.6344,                 1.1293,                0.56831,                0.42429,                0.44792,                 0.1984,                 1.7741,                 3.2925,                0.78182,                  8e-05,                  8e-05,                  8e-05
                     22,                 1.9039,                 1.5875,                 1.1359,                0.56732,                0.42129,                 0.4636,                0.20574,                 1.7644,                 3.2549,                0.78401,                7.9e-05,                7.9e-05,                7.9e-05
                     23,                  1.902,                 1.6008,                 1.1411,                0.58637,                0.42083,                0.46619,                0.20784,                 1.7474,                 3.2552,                0.77977,                7.8e-05,                7.8e-05,                7.8e-05
                     24,                 1.8661,                 1.6024,                 1.1387,                0.56249,                0.43478,                0.45623,                0.20881,                 1.7556,                 3.2233,                0.79074,                7.7e-05,                7.7e-05,                7.7e-05
                     25,                 1.8671,                 1.5836,                 1.1349,                 0.5838,                0.43928,                0.46825,                0.21141,                 1.7601,                 3.2302,                0.78677,                7.6e-05,                7.6e-05,                7.6e-05
                     26,                 1.8416,                 1.6743,                 1.1407,                0.60325,                0.42729,                0.46754,                0.20969,                 1.7577,                 3.2414,                0.78301,                7.5e-05,                7.5e-05,                7.5e-05
                     27,                 1.8884,                 1.6449,                 1.1447,                 0.5666,                0.42926,                0.45569,                0.20641,                 1.7643,                 3.2248,                0.79326,                7.4e-05,                7.4e-05,                7.4e-05
                     28,                  1.865,                 1.5907,                 1.1507,                0.61051,                0.44078,                 0.4771,                0.21126,                 1.7607,                 3.2172,                0.78249,                7.3e-05,                7.3e-05,                7.3e-05
                     29,                 1.8555,                 1.6376,                 1.1417,                0.58546,                0.44465,                0.47295,                0.20654,                 1.7712,                 3.2628,                0.77258,                7.2e-05,                7.2e-05,                7.2e-05
                     30,                 1.8533,                  1.575,                 1.1255,                 0.5892,                0.45727,                0.47226,                 0.2068,                  1.784,                 3.2452,                0.77633,                7.1e-05,                7.1e-05,                7.1e-05
